Email Text,Email Type
Can we reschedule our 3 PM? I have a conflict. How about 4 PM?,Safe Email
Your Netflix subscription has expired. Renew now by clicking this link: http://netflix-billing-update.com,Phishing Email
Reminder: Please submit your timesheets by Friday.,Safe Email
Thanks for your purchase! Your order will be shipped soon. You can track it here: http://amazon-tracking.com/123,Safe Email
Attached is the signed contract. Excellent doing business with you.,Safe Email
"Hey, are we still on for dinner tonight?",Safe Email
Urgent request from the CEO: I need you to purchase 5 Apple gift cards and send me the codes.,Phishing Email
You have won a $1000 Walmart gift card! Click here to claim your prize: http://free-gift-cards-claim.info,Phishing Email
Urgent request from the CEO: I need you to purchase 5 Apple gift cards and send me the codes.,Phishing Email
Thanks for your purchase! Your order will be shipped soon. You can track it here: http://amazon-tracking.com/123,Safe Email
Here is the report you requested. Please review it before the end of the week.,Safe Email
You have won a $1000 Walmart gift card! Click here to claim your prize: http://free-gift-cards-claim.info,Phishing Email
Don't forget we have a team lunch at 12 PM tomorrow!,Safe Email
Reminder: Please submit your timesheets by Friday.,Safe Email
Can we reschedule our 3 PM? I have a conflict. How about 4 PM?,Safe Email
The project deployment was successful. Check the logs at https://github.com/org/repo/actions,Safe Email
Can we reschedule our 3 PM? I have a conflict. How about 4 PM?,Safe Email
"Hi Sarah, just following up on our meeting yesterday. Let me know when you have time to chat.",Safe Email
Here is the report you requested. Please review it before the end of the week.,Safe Email
Your Netflix subscription has expired. Renew now by clicking this link: http://netflix-billing-update.com,Phishing Email
Can we reschedule our 3 PM? I have a conflict. How about 4 PM?,Safe Email
Thanks for your purchase! Your order will be shipped soon. You can track it here: http://amazon-tracking.com/123,Safe Email
Can we reschedule our 3 PM? I have a conflict. How about 4 PM?,Safe Email
Here is the report you requested. Please review it before the end of the week.,Safe Email
Can we reschedule our 3 PM? I have a conflict. How about 4 PM?,Safe Email
"Hey, are we still on for dinner tonight?",Safe Email
Reminder: Please submit your timesheets by Friday.,Safe Email
"Dear customer, your PayPal account is restricted. Re-activate it now: http://paypal.com.secure-login-update.com/verify",Phishing Email
Reminder: Please submit your timesheets by Friday.,Safe Email
Congratulations! You've been selected for an exclusive offer. Claim here: http://exclusive-rewards-today.com,Phishing Email
